Brand,Model,Year,Selling_Price,KM_Driven,Fuel,Seller_Type,Transmission,Owner
25,215,2002,100000,120000,1,0,0,0
17,162,2010,160000,130000,1,0,0,0
18,44,2017,450000,70000,1,0,0,0
18,216,2014,600000,20000,0,0,0,0
10,217,2009,180000,60000,1,0,0,1
18,39,2007,100000,195000,0,0,0,0
18,39,2010,120000,90000,0,0,0,1
10,218,2006,130000,80000,0,0,0,2
18,219,2011,160000,155000,0,0,0,0
17,86,2019,860000,35000,1,0,0,0
10,220,2018,650000,20000,0,0,0,1
18,1,2010,100000,80000,0,0,0,1
18,221,2017,282000,20000,0,0,0,0
10,222,2009,300000,50000,0,0,0,0
10,153,2010,270000,110000,0,0,0,1
10,223,2013,550000,29000,1,0,0,0
17,224,2013,450000,120000,1,0,0,0
17,225,2011,430000,70000,1,0,0,1
18,226,2013,350000,40000,0,0,0,0
9,227,2017,350000,20000,0,0,0,0
26,228,2013,229999,50000,0,0,0,1
18,229,2013,110000,50000,0,0,0,0
18,230,2012,395000,49000,0,0,0,1
17,231,2011,650000,70000,1,0,1,1
17,232,2011,350000,90000,1,0,0,1
17,233,2020,1400000,25000,1,1,0,0
25,234,2018,360000,4000,0,0,0,0
17,235,2018,1300000,10000,1,0,0,0
23,236,2015,800000,15000,1,0,0,0
10,49,2018,229999,30000,0,0,0,0
18,237,2014,315000,41000,0,1,0,0
3,238,2012,125000,28000,0,0,0,0
18,239,2019,700000,16000,0,0,0,0
10,240,2015,160000,70000,0,0,0,0
8,241,2017,530000,10832,0,1,0,0
8,242,2018,624000,14681,1,1,0,0
10,192,2009,250000,50000,0,0,0,0
17,232,2016,585000,51000,1,1,0,0
10,243,2015,500000,25000,0,0,0,0
3,244,2014,350000,30000,0,0,0,0
9,245,2014,495000,80000,1,1,0,0
10,38,2017,500000,50000,0,0,0,0
17,246,2015,430000,200000,1,0,0,0
10,247,2013,345000,44000,0,1,0,0
18,248,2015,500000,10000,0,0,0,0
25,234,2019,425000,19600,0,0,0,0
18,133,2005,80000,40000,0,0,0,1
3,198,2011,106000,50000,1,0,0,0
18,249,2009,180000,46730,0,0,0,0
5,250,2015,250000,40000,0,0,0,1
24,251,2011,350000,80000,1,0,0,0
18,252,2002,60000,80000,0,0,0,1
10,253,2018,900000,24000,1,0,0,0
8,254,2017,700000,21170,1,1,0,0
2,255,2013,2000000,167223,1,1,1,0
18,214,2017,1000000,40000,1,0,0,0
2,256,2011,1375000,60000,1,0,1,0
26,257,2016,1800000,141440,1,1,0,0
3,258,2007,160000,120000,1,0,0,2
20,259,2012,525000,140000,0,0,1,0
17,71,2012,850000,212814,1,1,0,0
18,260,2019,800000,30000,1,0,0,0
8,261,2017,700000,88635,1,1,0,0
18,95,2018,800000,25000,1,0,0,0
10,220,2017,575000,20000,0,0,0,1
23,143,2012,350000,110000,1,0,0,1
18,103,2008,250000,120000,1,0,0,2
8,262,2011,600000,149674,1,1,0,1
17,263,2007,370000,100000,1,0,0,2
18,264,2006,80000,120000,0,0,0,2
25,265,2003,50000,120000,1,0,0,1
10,253,2018,900000,25000,1,0,0,0
18,35,2014,300000,35000,0,0,0,1
25,266,2002,125000,40000,0,0,0,0
18,95,2015,490000,60000,1,0,0,1
26,267,2012,300000,50000,1,0,0,1
25,268,2013,55000,25000,0,0,0,3
10,269,2016,350000,25000,0,0,0,0
10,202,2019,755000,8000,1,0,0,0
18,106,2017,720000,60000,1,0,0,0
17,232,2006,229999,200000,1,0,0,2
17,270,2018,1100000,20000,1,0,0,0
27,271,2013,400000,100000,0,0,0,0
10,272,2015,350000,70000,1,0,0,1
3,273,2012,159000,68000,1,1,0,0
18,274,2017,550000,38000,0,1,0,0
18,275,2013,335000,80000,1,1,0,0
25,276,2014,185000,72000,2,1,0,0
18,277,2012,229999,75000,2,1,0,0
18,278,2014,225000,43000,0,1,0,0
18,279,2007,250000,120000,0,0,0,1
25,280,2015,400000,100000,1,0,0,0
18,142,2014,470000,163000,1,0,0,0
18,281,2018,300000,25000,0,0,1,0
18,152,2011,145000,25000,0,0,0,0
18,98,2007,100000,90000,0,0,0,1
17,282,2014,500000,70000,1,0,0,1
10,283,2010,130000,98000,2,0,0,1
3,111,2010,240000,81925,1,0,0,0
8,284,2013,150000,80000,1,0,0,1
23,285,2017,270000,40000,0,0,0,0
18,95,2014,400000,90000,1,0,0,0
10,117,2012,200000,46000,0,0,0,0
17,175,2012,550000,80000,1,0,0,0
23,286,2018,325000,35000,0,0,0,0
24,287,2017,860000,82080,1,0,1,0
17,71,2012,600000,200000,1,0,0,0
3,288,2009,125000,70000,0,0,0,0
18,0,2000,60000,40000,0,0,0,2
3,258,2010,300000,120000,1,0,0,2
8,289,2007,190000,60000,0,0,0,2
18,99,2013,400000,110000,1,0,0,0
25,290,2011,260000,97000,1,0,0,1
18,291,2017,400000,30000,0,0,0,0
10,292,2010,250000,40000,0,0,0,0
10,38,2019,600000,10000,0,0,0,0
18,293,2010,175000,52047,0,0,0,0
26,294,2011,450000,200000,1,0,0,2
25,295,2019,350000,15000,0,0,1,1
18,296,2018,800000,50000,1,0,0,0
18,297,2011,250000,70000,0,0,0,1
18,298,2019,600000,10000,0,0,0,0
18,142,2017,600000,90000,1,0,0,0
18,229,2016,130000,40000,0,0,0,0
18,133,2006,90000,62009,0,0,0,1
10,299,2017,595000,33100,0,0,0,1
10,117,2014,190000,40000,0,0,0,1
10,300,1999,50000,120000,0,0,0,1
18,1,2007,95000,80000,0,0,0,0
25,301,2016,1000000,70000,1,0,0,0
17,302,2006,220000,220000,0,0,0,1
17,232,2010,400000,50000,1,0,0,0
5,303,2015,315000,45000,0,0,0,1
26,304,2014,1000000,110000,1,0,0,0
8,305,2014,500000,49000,1,0,0,0
17,306,2018,1600000,35000,1,0,1,0
17,307,2017,500000,160000,1,0,0,0
18,152,2007,70000,180000,0,0,0,2
18,0,2007,105000,60000,0,0,0,1
8,308,2008,400000,110000,1,0,0,2
18,133,2004,80000,60000,0,0,0,2
18,221,2016,300000,30000,0,0,0,0
17,309,2017,409999,40000,1,0,0,0
18,310,2009,250000,70000,0,0,0,0
25,311,2010,250000,120000,1,0,0,1
18,95,2012,215000,80000,1,0,0,2
26,304,2015,1400000,120000,1,0,0,0
9,312,2018,475000,20000,0,0,0,0
9,312,2018,475000,22000,0,0,0,0
3,116,2008,75000,35000,0,0,0,1
3,313,2013,200000,120000,1,0,0,1
25,314,2019,575000,8000,0,0,0,0
18,275,2011,150000,40000,1,0,0,1
18,315,2018,850000,10000,1,0,0,0
10,316,2019,350000,30000,0,0,0,0
8,308,2011,550000,54000,1,0,0,1
10,243,2017,330000,80577,0,0,0,0
9,317,2017,1044999,25000,1,0,0,0
10,318,2011,300000,127500,1,0,0,1
10,319,2015,235000,40903,0,1,0,0
8,172,2011,120000,60000,0,0,0,2
18,237,2004,130000,46000,0,0,0,0
8,320,2004,275000,22288,1,1,0,1
27,321,2011,270000,180000,1,0,0,1
27,322,2015,500000,30000,1,0,0,1
10,269,2015,400000,61690,0,1,0,0
10,323,2015,600000,64484,0,1,0,0
1,18,2012,1350000,90000,1,0,1,1
23,324,2013,400000,75976,1,1,0,1
8,160,2011,220000,70000,1,0,0,1
9,137,2012,300000,85962,0,1,0,1
18,325,2018,250000,120000,0,0,0,0
9,194,2015,600000,120000,1,0,0,0
9,326,2012,285000,75000,0,0,1,1
9,327,2009,350000,57035,0,1,0,0
17,232,2011,170000,70000,1,0,0,2
8,328,2015,229999,45000,0,0,0,0
17,175,2013,500000,72104,1,1,0,1
25,329,2011,75000,15000,0,0,0,0
10,188,2016,600000,30000,0,0,0,0
25,330,2011,220000,80000,1,0,0,0
25,331,2009,150000,164000,1,0,0,1
18,152,2006,65000,124439,0,0,0,1
18,332,2006,120000,77000,0,0,0,1
18,95,2014,240000,90000,1,0,0,0
23,286,2017,390000,30000,0,0,0,0
3,333,2012,180000,50000,0,0,0,0
18,334,2012,320000,80000,1,0,0,1
18,229,2018,310000,5000,0,0,0,0
18,335,2018,420000,24000,0,0,1,0
25,314,2019,550000,10000,0,0,0,0
18,106,2016,550000,78000,1,0,0,2
17,336,2018,760000,50000,1,0,0,0
18,337,2001,43000,100000,0,0,0,1
18,204,2018,250000,20000,0,0,0,0
10,338,2019,500000,1250,0,0,0,0
25,339,2015,380000,17152,0,0,0,0
17,340,2019,1850000,5000,1,0,1,0
27,341,2012,350000,77000,1,0,0,0
10,342,2008,195000,90000,1,0,0,1
3,333,2011,225000,80000,0,0,0,1
26,25,2015,1125000,65000,1,0,0,0
25,343,2011,133000,80000,1,0,0,0
10,117,2013,200000,24005,0,0,0,0
18,315,2018,940000,20000,1,0,0,0
23,344,2014,400000,120000,1,0,0,0
10,345,2009,120000,120000,0,0,0,1
18,346,2015,625000,80000,1,0,0,0
18,57,2005,110000,80000,0,0,0,0
23,143,2012,490000,100000,1,0,0,0
18,152,2009,140000,120000,0,0,0,1
8,347,2011,175000,149000,1,0,0,1
18,348,2005,90000,65000,0,0,0,1
18,349,2009,275000,100000,1,0,0,1
27,350,2011,300000,65000,1,0,0,1
5,351,2018,270000,19000,0,0,0,1
3,141,2010,130000,80000,0,0,0,1
18,352,2015,275000,30000,0,0,0,0
18,334,2012,352000,109000,1,0,0,0
10,353,2012,180000,90000,4,0,0,0
18,152,2012,150000,90000,0,0,0,0
27,350,2011,300000,65000,1,0,0,1
18,103,2010,300000,110000,1,0,0,1
17,354,2007,225000,120000,1,0,0,0
9,194,2014,600000,44000,1,0,0,0
18,355,2015,500000,80000,0,0,0,0
9,356,2018,900000,5000,0,0,0,0
10,122,2016,600000,61000,0,0,0,0
26,357,2011,450000,100000,1,0,0,1
10,345,2009,270000,27633,0,0,0,0
18,103,2010,310000,100000,1,0,0,2
10,358,2012,250000,100000,4,0,0,0
8,359,2019,700000,12586,0,1,0,0
6,360,2018,650000,38083,1,1,0,0
8,347,2012,400000,55328,1,1,0,0
8,160,2012,425000,81632,1,1,0,0
8,254,2016,600000,155201,1,1,0,0
8,361,2013,600000,93283,1,1,0,0
18,362,2009,300000,217871,1,1,0,0
8,363,2012,450000,90165,1,1,0,0
8,305,2014,750000,101504,1,1,0,0
8,364,2010,325000,86017,1,1,0,1
17,71,2013,900000,85036,1,1,0,1
8,365,2006,180000,91086,0,1,0,1
6,366,2013,350000,160254,1,1,0,1
8,361,2013,600000,125531,1,1,0,1
9,367,2019,900000,60000,1,0,0,0
24,368,2006,350000,100000,1,0,0,0
18,369,2013,280000,90000,1,0,0,2
17,370,2009,225000,120000,1,0,0,1
9,371,2014,520000,82000,1,0,0,0
17,372,2016,509999,60000,1,0,0,0
18,205,2019,556000,24000,0,0,0,0
25,373,2014,225000,120000,1,0,0,0
9,374,2013,325000,65000,1,1,0,0
18,334,2013,365000,65000,1,1,0,0
10,375,2015,850000,84000,1,1,0,0
26,376,2013,350000,75000,1,1,0,0
18,334,2007,225000,50000,1,1,0,0
18,152,2011,135000,50000,0,0,0,0
18,1,2007,140000,49000,0,1,0,0
18,377,2016,665000,560000,1,1,0,0
23,91,2015,275000,14365,0,1,0,0
26,378,2017,2750000,41000,1,0,1,0
10,2,2013,484999,65000,1,1,0,0
18,379,2015,565000,65000,1,1,0,0
18,95,2013,425000,61083,1,1,0,0
26,201,2013,925000,75000,1,0,0,0
17,380,2012,565000,72000,1,1,0,0
23,236,2014,525000,65000,1,1,0,0
10,381,2017,1650000,55000,1,1,0,0
10,117,2015,295000,21000,0,1,0,1
12,382,2012,2050000,66363,0,1,1,1
10,383,2018,1475000,11700,0,1,1,0
10,384,2017,1100000,10000,0,0,1,0
19,385,2014,4400000,100000,1,0,1,1
18,386,2016,670000,7104,0,2,0,0
18,387,2015,750000,45974,1,2,0,0
10,388,2015,760000,55340,0,2,0,0
27,389,2017,850000,20000,0,1,1,1
23,390,2015,390000,61585,1,2,0,0
18,391,2016,450000,39415,0,2,1,1
9,392,2014,425000,29654,0,2,0,0
18,260,2016,770000,64672,1,2,0,0
10,393,2015,1150000,54634,1,2,1,1
9,394,2015,775000,66521,0,2,0,0
26,395,2018,1725000,23974,1,1,1,1
2,396,2016,2150000,43000,1,1,1,0
23,344,2013,450000,1000,1,1,0,1
19,397,2018,3800000,10000,1,1,1,0
1,398,2013,1580000,86000,1,1,1,0
2,399,2019,4950000,30000,1,1,1,0
10,107,2016,535000,52600,1,0,0,0
18,400,2012,225000,110000,0,0,0,1
10,401,2017,550000,19890,0,1,1,0
18,386,2016,670000,7104,0,2,0,0
18,216,2015,625000,11918,0,2,0,0
10,402,2017,520000,10510,0,1,1,0
3,403,2016,239000,41000,0,1,0,0
26,404,2017,2600000,47162,1,2,1,0
18,387,2015,750000,45974,1,2,0,0
10,405,2012,229999,49824,0,1,0,0
1,75,2013,1300000,58500,1,1,1,0
10,406,2005,80000,56580,0,1,0,0
24,407,2012,385000,52000,1,1,0,0
10,388,2015,760000,55340,0,2,0,0
18,95,2017,600000,46507,1,2,0,0
23,344,2013,450000,1000,1,1,0,1
19,397,2018,3800000,10000,1,1,1,0
1,398,2013,1580000,86000,1,1,1,0
2,399,2019,4950000,30000,1,1,1,0
10,107,2016,535000,52600,1,0,0,0
18,400,2012,225000,110000,0,0,0,1
10,401,2017,550000,19890,0,1,1,0
18,386,2016,670000,7104,0,2,0,0
18,216,2015,625000,11918,0,2,0,0
10,402,2017,520000,10510,0,1,1,0
3,403,2016,239000,41000,0,1,0,0
26,404,2017,2600000,47162,1,2,1,0
18,387,2015,750000,45974,1,2,0,0
10,405,2012,229999,49824,0,1,0,0
1,75,2013,1300000,58500,1,1,1,0
10,406,2005,80000,56580,0,1,0,0
24,407,2012,385000,52000,1,1,0,0
10,388,2015,760000,55340,0,2,0,0
18,95,2017,600000,46507,1,2,0,0
23,344,2013,450000,1000,1,1,0,1
19,397,2018,3800000,10000,1,1,1,0
1,398,2013,1580000,86000,1,1,1,0
2,399,2019,4950000,30000,1,1,1,0
10,107,2016,535000,52600,1,0,0,0
18,400,2012,225000,110000,0,0,0,1
10,401,2017,550000,19890,0,1,1,0
18,386,2016,670000,7104,0,2,0,0
18,216,2015,625000,11918,0,2,0,0
10,402,2017,520000,10510,0,1,1,0
3,403,2016,239000,41000,0,1,0,0
26,404,2017,2600000,47162,1,2,1,0
18,387,2015,750000,45974,1,2,0,0
10,405,2012,229999,49824,0,1,0,0
1,75,2013,1300000,58500,1,1,1,0
10,406,2005,80000,56580,0,1,0,0
24,407,2012,385000,52000,1,1,0,0
10,388,2015,760000,55340,0,2,0,0
18,95,2017,600000,46507,1,2,0,0
23,344,2013,450000,1000,1,1,0,1
19,397,2018,3800000,10000,1,1,1,0
1,398,2013,1580000,86000,1,1,1,0
2,399,2019,4950000,30000,1,1,1,0
10,107,2016,535000,52600,1,0,0,0
18,400,2012,225000,110000,0,0,0,1
10,401,2017,550000,19890,0,1,1,0
18,386,2016,670000,7104,0,2,0,0
18,216,2015,625000,11918,0,2,0,0
10,402,2017,520000,10510,0,1,1,0
3,403,2016,239000,41000,0,1,0,0
26,404,2017,2600000,47162,1,2,1,0
18,387,2015,750000,45974,1,2,0,0
10,405,2012,229999,49824,0,1,0,0
1,75,2013,1300000,58500,1,1,1,0
10,406,2005,80000,56580,0,1,0,0
24,407,2012,385000,52000,1,1,0,0
10,388,2015,760000,55340,0,2,0,0
18,95,2017,600000,46507,1,2,0,0
10,408,2013,350000,50000,0,0,0,1
18,229,2014,114999,30000,0,0,0,0
10,408,2013,380000,50000,0,0,0,1
18,409,1995,95000,100000,0,0,0,1
17,53,2016,900000,35000,1,0,0,0
3,141,2012,200999,90000,0,0,0,1
18,325,2014,229999,11451,0,0,0,0
25,410,2019,800000,60000,1,0,0,0
17,411,2012,150000,172000,1,0,0,1
18,334,2018,600000,60000,1,0,0,0
3,412,2005,150000,150000,1,0,0,0
3,413,2009,150000,66000,1,0,0,0
18,414,2019,380000,5000,0,0,0,0
18,57,2006,80000,66508,0,0,0,1
9,415,2007,225000,55000,0,0,0,1
25,104,2012,75000,29900,0,0,0,0
25,416,2017,1600000,3000,1,0,0,0
25,417,2012,185000,85000,1,0,0,0
17,418,2011,425000,50000,1,0,0,0
25,109,2010,100000,120000,1,0,0,1
18,419,2008,140000,90000,0,0,0,2
18,420,2017,710000,8000,0,0,1,0
9,421,2015,450000,7900,0,0,1,0
5,3,2017,210000,50000,0,0,0,0
18,150,2016,270000,25000,0,0,0,0
18,39,2009,110000,20000,0,0,0,0
18,422,2018,540000,17500,0,0,0,0
17,423,2008,145000,25000,0,0,0,0
25,301,2013,360000,206500,1,0,0,0
10,424,2013,250000,88600,4,0,0,0
